year,journalname,title,author,keyword
2013,情报资料工作,微信息环境下图书馆学科服务的长尾效应,黎明;,图书馆; 微信息环境; 学科服务; 长尾理论;
2013,情报杂志,基于微信公众账号的图书馆移动信息服务研究,孔云;廖寅;资芸;薛秀珍;张仲华;,微信; 微信公众账号; 移动信息服务; 社交网络;
2013,图书情报工作,微信公众平台在国内图书馆服务中的应用实践研究,王保成;邓玉;,微信; 图书馆; 实践;
2013,图书情报工作,图书馆微信息生态环境探究,郭文丽;赵雅馨;严潮斌;,微信息环境; 生态; 移动客户端; 移动图书馆; 微服务;
2013,图书情报工作,微信息环境下的图书馆用户需求调研,赵雅馨;,微信息; 微服务; 社会网络服务; 用户需求;
2013,图书馆论坛,图书馆官方微博阅读推广方式探究——“莫言作品微信息传播”带来的启示和思考,刘静;,图书馆; 微博; 阅读推广; 莫言作品;
2013,现代情报,阅读在身边——图书馆微信公众平台服务,郝丽梅;,微信; 公众平台; 阅读;
2013,现代情报,基于微信的移动图书馆APP服务系统设计与实现,江波;覃燕梅;,微信; 移动图书馆; 手机图书馆; 掌上图书馆; APP服务系统;
2013,现代情报,基于微信的图书馆信息服务模式研究,肖金华;黄丽红;,微信; 图书馆; 信息服务;
2013,图书馆学研究,微信公众平台及其在图书馆移动服务中的应用与研究,陈盈;,微信公众平台; 图书馆; 移动服务; 开发与利用;
2013,图书馆学研究,面向知识咨询的图书馆移动服务设计与实现——以微信公共平台为例,李白杨;白广思;,图书馆; 移动服务; 微信;
2013,图书馆学研究,基于微信公众平台的高校移动图书馆服务研究,武龙龙;杨小菊;,微信公众平台; 微信; 移动图书馆; 即时通信; 服务设计;
2014,国家图书馆学刊,图书馆微信公众平台的构建,张正;,微信; 公众平台; 图书馆; 图书馆服务; 宣传推广;
2014,国家图书馆学刊,微信在图书馆信息服务中的应用现状研究,傅钰;,微信应用; 图书馆; 信息推送; 信息服务;
2014,大学图书馆学报,高校图书馆官方微信经营策略研究——以南京大学图书馆为例,史梅;翟晓娟;,数字图书馆; 高校图书馆; 新媒体; 微信; 营销; 南京大学;
2014,情报资料工作,高校图书馆微信公众平台服务探略,王洪波;,微信公众平台; 服务; 高校图书馆;
2014,情报资料工作,高校图书馆移动信息服务中轻应用模式的应用及其借鉴——基于高校图书馆微信公众号的分析,白明凤;匡惠华;,轻应用; 微信; 高校图书馆; 移动信息服务;
2014,图书情报工作,图书馆的微信营销,原丽娜;刘华;,微信; 图书馆; 营销;
2014,图书情报工作,微信在图书馆信息服务中的应用研究,李雪;,微信; 图书馆; 信息服务;
2014,图书情报工作,基于微信公众平台的图书馆二维码定位系统构建,林泽斐;,图书馆; 二维码; 微信; 室内定位;
2014,图书情报工作,微信在图书馆移动服务中的应用研究与实践,孙翌;李鲍;高春玲;,图书馆; 微信; 移动服务; 移动图书馆;
2014,图书馆杂志,图书馆微信机器人的研究与应用,罗涛;朱莹;,微信机器人; 微信公众平台; 图书馆; 语义分析;
2014,图书馆杂志,图书馆微信公众号建设,黎邦群;,图书馆公众号; 微信平台; 公众号开发; 消息收发; 图书查询; 读者服务;
2014,图书馆杂志,微信在图书馆信息服务中的应用实践——以浙江省高校图书馆为例,张真;丁国峰;,信息服务; 微信图书馆;
2014,图书馆建设,图书馆微信公众号优化研究,黎邦群;,图书馆微信公众号; 公众平台; 公众号优化; 公众号开发;
2014,图书馆建设,高校图书馆微信公众平台服务发展现状及对策,张秋;杨玲;王曼;,移动互联网; 自媒体; 图书馆; 微信公众平台;
2014,图书馆论坛,图书馆微信服务平台的设计与实现,孔云;廖寅;资芸;薛秀珍;张仲华;,微信; 微信公众账号; 开放接口; 移动信息服务; 社交网络;
2014,现代情报,基于微信的高校图书馆品牌营销现状与策略研究,洪海娟;卢振波;,微信; 高校图书馆; 品牌营销;
2014,现代情报,基于“微信”的图书馆应用与服务模式研究,赵闯;王戴尊;,微信; 图书馆; 服务模式; 信息共享;
2014,现代情报,移动社交媒体环境下的图书馆信息服务研究——国内图书馆微信公众服务平台现状调查,蒋丽平;郑红月;易安宁;,微信; 图书馆; 信息服务; 移动图书馆; 移动网络; 社交媒体; 调查;
2014,现代情报,基于微信公众平台的图书馆信息服务系统构建,周耀;董殿永;,微信公众平台; 信息服务; 图书馆; XML;
2014,现代情报,基于微信公众平台的图书馆信息推送研究,康思本;,微信公众平台; 图书馆; 信息推送;
2014,情报理论与实践,微信图书馆建设之思考,陈语时;,微信; 图书馆; 微信图书馆; 建设;
2014,情报理论与实践,基于微信的图书馆服务:现状与服务模式构建,赵洁;马铮;王雪雅;,微信; 图书馆服务; 服务模式;
2014,图书馆学研究,“211工程”高校图书馆微信公众平台应用问题及对策,吉翠芳;周志峰;,微信公众平台; 图书馆; 211工程; 内容管理;
2014,图书馆学研究,“985”高校图书馆微信服务平台使用现状调查与分析,陈雨雪;,高校图书馆; 微信公众号; 用户服务;
