year,journalname,title,author,orgn,keyword,fund,catelogcode,summary
2013,情报资料工作,微信息环境下图书馆学科服务的长尾效应,黎明;,宁波大学图书馆,图书馆; 微信息环境; 学科服务; 长尾理论;,浙江省教育厅项目“基于长尾理论的图书馆服务高校学科建设模式”(编号:Y201017499)的研究成果之一；,G250.7,"文章针对多数图书馆学科服务成效不显著的事实,从人、物、技术以及服务环境四个方面剖析其原因。指出微信息环境激发了用户微需求,微需求进一步催生微服务。微信息的长尾效应就是长尾用户获得个性化服务所形成的总效应可以和少数用户获得大众化服务所形成的总效应相当甚至更大。在微信息环境下,图书馆应积极捕捉用户长尾、延伸馆员长尾、完善资源长尾、创新服务长尾,实现学科服务的长尾效应。 "
2013,情报杂志,基于微信公众账号的图书馆移动信息服务研究,孔云;廖寅;资芸;薛秀珍;张仲华;,昆明理工大学图书馆,微信; 微信公众账号; 移动信息服务; 社交网络;,,G250.7,"移动信息服务是图书馆开展信息服务的发展方向之一,微信作为一种新的即时通信产品,从开始就备受各界关注。首先分析了图书馆移动信息服务开展的现状,指出在开展移动信息服务中存在的问题;接着引入微信和微信公众账号,分析它们的特点和用户行为;总结了当前微信公众账号应用的常见模式;然后说明和分析构建基于微信公众账号的信息服务方式,提出符合图书馆行业特点的信息服务平台设想,分享了我校图书馆使用微信服务平台的经验;最后分析了微信的未来发展方向。 "
2013,图书情报工作,微信公众平台在国内图书馆服务中的应用实践研究,王保成;邓玉;,中国科学院国家科学图书馆中国科学院大学,微信; 图书馆; 实践;,,G252,"对国内图书馆应用微信公众平台提供服务的实践进行调研,总结图书馆使用微信公众平台进行服务的功能应用,分析当前图书馆微信公众平台使用中存在的问题以及微信公众平台本身应用于图书馆服务中的不足,提出相关改进建议,以期微信公众平台在图书馆未来的服务中发挥更大的作用。 "
2013,图书情报工作,图书馆微信息生态环境探究,郭文丽;赵雅馨;严潮斌;,北京邮电大学图书馆辽宁师范大学管理学院,微信息环境; 生态; 移动客户端; 移动图书馆; 微服务;,《图书情报工作》杂志社出版基金项目“基于移动客户端的图书馆微服务系统研究”(项目编号:2012CB001)研究成果之一；,G250.76,"微信息环境的出现对图书馆的现行服务模式提出了挑战。图书馆应通过构建微服务系统形成并发展图书馆微信息生态环境。图书馆微服务的具体实现模式可从传统图书馆服务内容的碎片化、微内容聚合、契合移动终端特点的新服务开发、与移动SNS融合这几个方面入手。图书馆应将微服务纳入其服务体系,应用微信息技术满足用户的个性化信息需求,并以用户为中心评价考核微服务的效果,逐步形成微服务与传统服务相辅相成的多层次创新型服务体系。 "
2013,图书情报工作,微信息环境下的图书馆用户需求调研,赵雅馨;,辽宁师范大学管理学院,微信息; 微服务; 社会网络服务; 用户需求;,《图书情报工作》杂志社出版基金项目“基于移动客户端的图书馆微服务系统研究”(项目编号:2012CB001)研究成果之一；,G252,"微信息环境下,用户对于图书馆的资源与服务提出了新的要求。通过调查问卷,对图书馆用户的移动客户端信息服务需求进行调研,从信息推送服务、查询服务、借阅相关服务、移动阅读服务、读者互动服务5个方面分析微信息环境下图书馆用户的信息需求特点,提出图书馆微服务应保证快速的响应速度与良好的屏幕显示效果,注重移动应用程序的实用性与智能化,并与移动社交网络相结合。 "
2013,图书馆论坛,图书馆官方微博阅读推广方式探究——“莫言作品微信息传播”带来的启示和思考,刘静;,河南师范大学图书馆,图书馆; 微博; 阅读推广; 莫言作品;,河南省教育厅人文社会科学2012年青年项目“基于新浪微博平台的图书馆官方微博营销研究”(2012-QN-260)研究成果之一；,G252.1,"以新浪微博为平台,对""莫言作品微信息传播""进行分析,研究图书馆官方微博如何针对新闻事件进行有效的微博阅读推广,并快速实现读者阅读诉求的方式方法,进而探寻图书馆官方微博服务读者、创新微博阅读推广方式的可行性方法。 "
2013,现代情报,阅读在身边——图书馆微信公众平台服务,郝丽梅;,吉林省图书馆,微信; 公众平台; 阅读;,,G250.7,"微信公众平台作为推广阅读和提升品牌影响力的重要工具,越来越受到图书馆界的重视。利用公众平台向微信读者推送图书馆相关信息,提供自助服务,再一次践行了图书馆""阅读在身边""的服务理念。随着微信技术和管理经验的不断积累和成熟,此项服务应不断拓展,推动图书馆创新工作的发展。 "
2013,现代情报,人际沟通视阈下的微信传播解读,王欢;祝阳;,北京邮电大学公共管理学院,交往; 沟通; 微信; 关系; 失范;,教育部新世纪人才项目“网络社会与大学生价值观塑造”(NCET-10-0264)； 北京市哲学社会科学规划项目“文化多元背景下当代大学生信息接受习惯与认知方式研究”(BJZ2011ZL01)； 教育部基金项目“基于移动通信网的手机文化研究”(08JA840003)；,G206,"微信在人际沟通领域引发了一场革命,基于""媒介是人体器官延伸""的理论,分析微信功能,探讨微信进入社会流程后对社会成员的人际思考与对沟通方式的塑造作用。微信备受现代人的青睐,分别从满足体现自我价值、情感表达、娱乐消遣3个方面进行阐释。深入思考微信社交的本质变化:由原有的""弱关系""向基于手机通讯录的""强关系""转变,实现了基于熟人关系的全新互动。微信的半匿名性引发个体的去个性化与去抑制性,从道德滑坡、语言暴力化、交往快餐式化3个角度剖析其负面效用。 "
2013,现代情报,基于微信的移动图书馆APP服务系统设计与实现,江波;覃燕梅;,西南政法大学图书馆广东技术师范学院图书馆,微信; 移动图书馆; 手机图书馆; 掌上图书馆; APP服务系统;,2012年广州市哲学社会科学规划课题“广州移动图书馆之城建设研究”(项目批准号:2012GJ65)； 2011年西南政法大学重点项目“图书馆移动信息服务标准规范研究”(项目批准号:2011-XZZD21)的研究成果；,G250.7,"APP服务是当前移动互联网服务的主要形式。微信已经发展成为了一个拥有海量用户的平台APP。基于微信构建移动图书馆APP服务系统具有灵活开放、功能强大、全平台支持等优点,可以极大地节约建设成本,提高图书馆移动服务水平。 "
2013,现代情报,基于微信的图书馆信息服务模式研究,肖金华;黄丽红;,广东药学院图书馆,微信; 图书馆; 信息服务;,,G252,"自从2011年面世以来,微信的用户量与使用量是节节攀升,在政界、商界、新闻、科技等领域开展了广泛应用。借助微信,图书馆可以更精确的开展读者互动、文化推广、学术交流等工作,开创出继微博等工具之后的又一个新型信息服务平台。 "
2013,图书馆学研究,微信支持文献检索教学的探讨,施李丽;,南通大学图书馆,微信; 文献检索教学; 互动; 交流;,南通大学教学研究课题“基于混合学习的文献信息检索教学改革研究”(项目编号:2012B096)的研究成果之一；,G252.7-4,"针对高校文献检索课的教学现状,结合微信信息交流即时性和互动性强,信息传播方式多元化等特点,对微信在文献检索教学中的应用从教学前的调查分析,教学资源的发布,教学中的交流讨论等方面进行了探讨。 "
2013,图书馆学研究,微信公众平台及其在图书馆移动服务中的应用与研究,陈盈;,重庆图书馆,微信公众平台; 图书馆; 移动服务; 开发与利用;,,G250.7,"文章从微信公众平台相较于图书馆其他几类移动应用软件的优势入手,对我国图书馆利用公众平台开展移动服务的现状及存在的问题进行了调查分析,并就如何利用微信公众平台开展和拓宽图书馆移动服务,及应注意的问题与发展方向进行了讨论。 "
2013,图书馆学研究,面向知识咨询的图书馆移动服务设计与实现——以微信公共平台为例,李白杨;白广思;,郑州大学信息管理学院郑州大学图书馆河南省高等文献保障中心(HALIS),图书馆; 移动服务; 微信;,2013年河南省教育厅人文社会科学研究项目“面向知识咨询服务的大数据技术研究”(项目编号:2013-GH-377)的研究成果之一；,G250.76,"文章介绍了图书馆基于微信公共平台服务的设计与实现,并以湖北省图书馆为例,分析了微信服务的内容,最终讨论了微信服务的优势、缺陷与展望。 "
2013,图书馆学研究,基于微信公众平台的高校移动图书馆服务研究,武龙龙;杨小菊;,四川大学公共管理学院,微信公众平台; 微信; 移动图书馆; 即时通信; 服务设计;,,G252,"文章从发展现状、服务功能及平台特征等方面对微信公众平台进行介绍;对国内高校移动图书馆发展存在的问题进行总结,对国内高校移动图书馆利用微信公众平台开展服务的可行性进行分析,指出微信公众平台能够较好地解决目前高校移动图书馆服务存在的部分问题;最后对基于微信公众平台的移动图书馆服务进行设计。 "
2014,国家图书馆学刊,图书馆微信公众平台的构建,张正;,广州大学图书馆,微信; 公众平台; 图书馆; 图书馆服务; 宣传推广;,2011年度教育部人文社会科学研究一般项目“免费服务环境下的公共图书馆媒体宣传对策研究”(项目编号:11YJC870038)研究成果之一；,G250.7,"微信以双向性和互动性的显著特点倍受用户的青睐,并成为微媒体中最热门的社交工具,同时也成为图书馆拓展服务范围、服务方式和服务内容的重要手段。图书馆构建微信公众平台应做好充分的准备工作,如分析用户需求、合理选择微信公众号、撰写微信公众平台推介等,同时还应结合图书馆自身运作情况对微信公众平台的服务功能进行完善。 "
2014,国家图书馆学刊,微信在图书馆信息服务中的应用现状研究,傅钰;,中山大学资讯管理学院,微信应用; 图书馆; 信息推送; 信息服务;,,G252,"通过对微信在图书馆信息服务中的应用现状进行调研,发现当前图书馆运营的微信公众号数量不断增加,但在信息推送频率、内容规范、互动交流、宣传推广等方面表现不一,服务水平良莠不齐。图书馆若要进一步发挥微信在信息服务中的效用,还需明确微信服务的定位、制定规范的微信管理制度,同时加强宣传与推广。 "
